User_id,Merchant_id,User_merchant_buy_total,User_merchant_received,User_merchant_buy_use_coupon,User_merchant_any,User_merchant_buy_common,User_merchant_coupon_transfer_rate,User_merchant_coupon_buy_rate,User_merchant_coupon_rate,User_merchant_coupon_common_rate
25665,7921,6,2,1,7,1,0.5,0.16666666666666666,0.8571428571428571,0.16666666666666666
55790,5524,1,1,1,1,1,1.0,1.0,1.0,1.0
131864,4281,6,1,1,6,1,1.0,0.16666666666666666,1.0,0.16666666666666666
154660,760,10,3,3,10,3,1.0,0.3,1.0,0.3
156460,7555,18,2,2,18,2,1.0,0.1111111111111111,1.0,0.1111111111111111
256700,6901,3,1,1,3,1,1.0,0.3333333333333333,1.0,0.3333333333333333
368520,3621,1,1,1,1,1,1.0,1.0,1.0,1.0
441006,6963,2,1,1,2,1,1.0,0.5,1.0,0.5
483796,760,2,1,1,2,1,1.0,0.5,1.0,0.5
513284,760,2,1,1,2,1,1.0,0.5,1.0,0.5
515140,7011,3,1,1,3,1,1.0,0.3333333333333333,1.0,0.3333333333333333
515273,3628,2,2,2,2,2,1.0,1.0,1.0,1.0
584253,6485,3,1,1,3,1,1.0,0.3333333333333333,1.0,0.3333333333333333
589013,5152,4,3,2,5,2,0.6666666666666666,0.5,0.8,0.5
620267,1379,2,1,1,2,1,1.0,0.5,1.0,0.5
635392,2934,8,1,1,8,1,1.0,0.125,1.0,0.125
725201,1469,1,2,1,2,1,0.5,1.0,0.5,1.0
777492,760,1,1,1,1,1,1.0,1.0,1.0,1.0
810073,7011,2,1,1,2,1,1.0,0.5,1.0,0.5
854943,6901,3,1,1,3,1,1.0,0.3333333333333333,1.0,0.3333333333333333
904131,1007,1,1,1,1,1,1.0,1.0,1.0,1.0
917944,4383,2,2,1,3,1,0.5,0.5,0.6666666666666666,0.5
936819,6485,3,2,2,3,2,1.0,0.6666666666666666,1.0,0.6666666666666666
976985,2436,5,3,2,6,2,0.6666666666666666,0.4,0.8333333333333334,0.4
1027352,6901,5,3,2,6,2,0.6666666666666666,0.4,0.8333333333333334,0.4
1068795,760,1,1,1,1,1,1.0,1.0,1.0,1.0
1087472,760,2,1,1,2,1,1.0,0.5,1.0,0.5
1215166,779,2,1,1,2,1,1.0,0.5,1.0,0.5
1314035,2934,2,2,2,2,2,1.0,1.0,1.0,1.0
1352475,1433,5,1,1,5,1,1.0,0.2,1.0,0.2
1381128,2914,2,1,1,2,1,1.0,0.5,1.0,0.5
1424314,2976,12,3,3,12,3,1.0,0.25,1.0,0.25
1446313,2934,3,1,1,3,1,1.0,0.3333333333333333,1.0,0.3333333333333333
1527457,380,1,2,1,2,1,0.5,1.0,0.5,1.0
1555549,760,4,1,1,4,1,1.0,0.25,1.0,0.25
1624541,6485,4,1,1,4,1,1.0,0.25,1.0,0.25
1783901,2934,2,1,1,2,1,1.0,0.5,1.0,0.5
1790124,2709,3,1,1,3,1,1.0,0.3333333333333333,1.0,0.3333333333333333
1893371,2934,1,1,1,1,1,1.0,1.0,1.0,1.0
1926088,7838,1,1,1,1,1,1.0,1.0,1.0,1.0
1929518,3389,7,3,2,8,2,0.6666666666666666,0.2857142857142857,0.875,0.2857142857142857
1931661,2342,3,3,1,5,1,0.3333333333333333,0.3333333333333333,0.6,0.3333333333333333
1935052,6485,4,1,1,4,1,1.0,0.25,1.0,0.25
1943063,7717,61,21,21,61,21,1.0,0.3442622950819672,1.0,0.3442622950819672
1984584,1945,3,2,2,3,2,1.0,0.6666666666666666,1.0,0.6666666666666666
2019120,8613,2,1,1,2,1,1.0,0.5,1.0,0.5
2037486,2934,2,1,1,2,1,1.0,0.5,1.0,0.5
2047479,2559,8,1,1,8,1,1.0,0.125,1.0,0.125
2064863,6284,1,1,1,1,1,1.0,1.0,1.0,1.0
2106476,5180,1,2,1,2,1,0.5,1.0,0.5,1.0
2115739,2934,11,2,2,11,2,1.0,0.18181818181818182,1.0,0.18181818181818182
2132171,6901,7,2,1,8,1,0.5,0.14285714285714285,0.875,0.14285714285714285
2132668,2934,11,1,1,11,1,1.0,0.09090909090909091,1.0,0.09090909090909091
