User_id,Merchant_id,User_merchant_buy_total,User_merchant_received,User_merchant_buy_use_coupon,User_merchant_any,User_merchant_buy_common,User_merchant_coupon_transfer_rate,User_merchant_coupon_buy_rate,User_merchant_coupon_rate,User_merchant_coupon_common_rate
31197,171,3,1,1,3,1,1.0,0.3333333333333333,1.0,0.3333333333333333
104286,171,5,2,1,6,1,0.5,0.2,0.8333333333333334,0.2
116103,3381,2,2,1,3,1,0.5,0.5,0.6666666666666666,0.5
156460,7555,9,2,2,9,2,1.0,0.2222222222222222,1.0,0.2222222222222222
230828,6186,3,2,1,4,1,0.5,0.3333333333333333,0.75,0.3333333333333333
384045,3381,1,1,1,1,1,1.0,1.0,1.0,1.0
449858,2099,1,1,1,1,1,1.0,1.0,1.0,1.0
547261,5341,3,4,3,4,3,0.75,1.0,0.75,1.0
620267,1379,2,1,1,2,1,1.0,0.5,1.0,0.5
635392,2934,8,1,1,8,1,1.0,0.125,1.0,0.125
674379,2099,2,1,1,2,1,1.0,0.5,1.0,0.5
725201,1469,1,2,1,2,1,0.5,1.0,0.5,1.0
899946,1041,1,1,1,1,1,1.0,1.0,1.0,1.0
899974,3621,9,2,1,10,1,0.5,0.1111111111111111,0.9,0.1111111111111111
936819,6485,3,2,2,3,2,1.0,0.6666666666666666,1.0,0.6666666666666666
976985,2436,5,2,2,5,2,1.0,0.4,1.0,0.4
1070698,2099,2,1,1,2,1,1.0,0.5,1.0,0.5
1314035,2934,2,2,2,2,2,1.0,1.0,1.0,1.0
1381128,2914,2,1,1,2,1,1.0,0.5,1.0,0.5
1417173,5341,14,3,3,14,3,1.0,0.21428571428571427,1.0,0.21428571428571427
1424314,2976,7,2,2,7,2,1.0,0.2857142857142857,1.0,0.2857142857142857
1446313,2934,3,1,1,3,1,1.0,0.3333333333333333,1.0,0.3333333333333333
1511021,3710,2,2,1,3,1,0.5,0.5,0.6666666666666666,0.5
1624541,6485,4,1,1,4,1,1.0,0.25,1.0,0.25
1654675,5341,7,4,4,7,4,1.0,0.5714285714285714,1.0,0.5714285714285714
1783901,2934,2,1,1,2,1,1.0,0.5,1.0,0.5
1893371,2934,1,1,1,1,1,1.0,1.0,1.0,1.0
1929518,3389,6,1,1,6,1,1.0,0.16666666666666666,1.0,0.16666666666666666
1943063,7717,48,19,17,50,17,0.8947368421052632,0.3541666666666667,0.96,0.3541666666666667
1945349,5341,1,1,1,1,1,1.0,1.0,1.0,1.0
1984584,1945,3,2,2,3,2,1.0,0.6666666666666666,1.0,0.6666666666666666
2032887,2709,1,1,1,1,1,1.0,1.0,1.0,1.0
2037486,2934,2,1,1,2,1,1.0,0.5,1.0,0.5
2064048,1433,3,3,1,5,1,0.3333333333333333,0.3333333333333333,0.6,0.3333333333333333
2064863,6284,1,1,1,1,1,1.0,1.0,1.0,1.0
2115739,2934,11,2,2,11,2,1.0,0.18181818181818182,1.0,0.18181818181818182
2132668,2934,13,1,1,13,1,1.0,0.07692307692307693,1.0,0.07692307692307693
2133366,6454,2,2,1,3,1,0.5,0.5,0.6666666666666666,0.5
2134004,2099,2,1,1,2,1,1.0,0.5,1.0,0.5
2143504,1520,2,2,2,2,2,1.0,1.0,1.0,1.0
2270395,5341,10,2,2,10,2,1.0,0.2,1.0,0.2
2311166,6485,4,3,2,5,2,0.6666666666666666,0.5,0.8,0.5
2333558,5138,4,1,1,4,1,1.0,0.25,1.0,0.25
2414524,3599,1,2,1,2,1,0.5,1.0,0.5,1.0
2539726,4511,2,1,1,2,1,1.0,0.5,1.0,0.5
