Merchant_id,Total_sales,Sales_use_coupon,Total_coupon,Merchant_min_distance,Merchant_max_distance,Merchant_mean_distance,Merchant_median_distance,Merchant_coupon_transfer_rate,Coupon_rate
2142,7,1,9,2,2,2.0,2,0.1111111111111111,0.14285714285714285
3997,18,1,2,0,0,0.0,0,0.5,0.05555555555555555
833,45,4,19,0,0,0.0,0,0.21052631578947367,0.08888888888888889
8638,35,4,20,0,1,0.25,0,0.2,0.11428571428571428
1238,2,1,1,0,0,0.0,0,1.0,0.5
2122,7,2,4,0,0,0.0,0,0.5,0.2857142857142857
1896,3,2,2,0,0,0.0,0,1.0,0.6666666666666666
6825,40,7,79,-1,1,-0.14285714285714285,0,0.08860759493670886,0.175
3488,58,2,49,-1,0,-0.5,-1,0.04081632653061224,0.034482758620689655
1303,2,1,1,0,0,0.0,0,1.0,0.5
451,72,6,62,0,5,1.8333333333333333,1,0.0967741935483871,0.08333333333333333
6597,138,6,23,0,1,0.16666666666666666,0,0.2608695652173913,0.043478260869565216
7910,741,121,441,-1,10,0.39669421487603307,0,0.2743764172335601,0.1632928475033738
5074,135,1,132,-1,-1,-1.0,-1,0.007575757575757576,0.007407407407407408
3876,259,2,211,-1,-1,-1.0,-1,0.009478672985781991,0.007722007722007722
4239,21,4,11,0,1,0.25,0,0.36363636363636365,0.19047619047619047
6361,40,1,1,0,0,0.0,0,1.0,0.025
5907,17,5,16,1,5,2.8,2,0.3125,0.29411764705882354
2622,320,25,107,-1,10,0.96,0,0.2336448598130841,0.078125
8678,126,2,21,0,0,0.0,0,0.09523809523809523,0.015873015873015872
8211,77,7,2272,0,6,1.4285714285714286,1,0.0030809859154929575,0.09090909090909091
3561,73,4,76,0,0,0.0,0,0.05263157894736842,0.0547945205479452
2655,21,1,5,0,0,0.0,0,0.2,0.047619047619047616
7324,11,4,20,0,0,0.0,0,0.2,0.36363636363636365
3566,9,3,3,0,0,0.0,0,1.0,0.3333333333333333
970,289,34,151,-1,10,0.4411764705882353,0,0.2251655629139073,0.11764705882352941
1157,90,6,48,0,5,1.1666666666666667,0,0.125,0.06666666666666667
3028,17,2,26,0,4,2.0,0,0.07692307692307693,0.11764705882352941
3790,1,1,3,5,5,5.0,5,0.3333333333333333,1.0
1888,6,2,4,0,0,0.0,0,0.5,0.3333333333333333
7206,148,10,28,0,3,0.4,0,0.35714285714285715,0.06756756756756757
8640,5,1,4,0,0,0.0,0,0.25,0.2
6378,23,3,25,0,2,1.3333333333333333,2,0.12,0.13043478260869565
8664,6,1,3,4,4,4.0,4,0.3333333333333333,0.16666666666666666
2479,68,6,43,-1,2,0.3333333333333333,0,0.13953488372093023,0.08823529411764706
7169,10,2,6,0,0,0.0,0,0.3333333333333333,0.2
4512,4,1,1,0,0,0.0,0,1.0,0.25
6108,3,1,3,-1,-1,-1.0,-1,0.3333333333333333,0.3333333333333333
2835,61,7,23,0,1,0.2857142857142857,0,0.30434782608695654,0.11475409836065574
4782,24,1,25,7,7,7.0,7,0.04,0.041666666666666664
375,29,12,16,1,8,2.8333333333333335,2,0.75,0.41379310344827586
744,183,3,167,0,0,0.0,0,0.017964071856287425,0.01639344262295082
2606,6,1,4,0,0,0.0,0,0.25,0.16666666666666666
642,243,83,109,0,2,0.07228915662650602,0,0.7614678899082569,0.34156378600823045
211,9,2,12,0,0,0.0,0,0.16666666666666666,0.2222222222222222
